user id,movie id,rating,timestamp,watched
196,242,3,881250949,1.0
186,302,3,891717742,1.0
22,377,1,878887116,0.19
244,51,2,880606923,0.16
166,346,1,886397596,1.0
298,474,4,884182806,1.0
115,265,2,881171488,1.0
253,465,5,891628467,1.0
305,451,3,886324817,0.52
6,86,3,883603013,1.0
62,257,2,879372434,1.0
286,1014,5,879781125,1.0
200,222,5,876042340,0.94
210,40,3,891035994,1.0
224,29,3,888104457,1.0
303,785,3,879485318,1.0
122,387,5,879270459,1.0
194,274,2,879539794,1.0
291,1042,4,874834944,1.0
234,1184,2,892079237,1.0
119,392,4,886176814,1.0
167,486,4,892738452,1.0
299,144,4,877881320,1.0
291,118,2,874833878,1.0
308,1,4,887736532,0.71
95,546,2,879196566,1.0
38,95,5,892430094,1.0
102,768,2,883748450,1.0
63,277,4,875747401,1.0
160,234,5,876861185,1.0
50,246,3,877052329,0.57
301,98,4,882075827,0.84
225,193,4,879539727,1.0
290,88,4,880731963,1.0
97,194,3,884238860,1.0
157,274,4,886890835,1.0
181,1081,1,878962623,1.0
278,603,5,891295330,1.0
276,796,1,874791932,0.05
7,32,4,891350932,1.0
10,16,4,877888877,1.0
284,304,4,885329322,1.0
201,979,2,884114233,1.0
276,564,3,874791805,1.0
287,327,5,875333916,1.0
246,201,5,884921594,1.0
242,1137,5,879741196,1.0
249,241,5,879641194,1.0
99,4,5,886519097,1.0
178,332,3,882823437,0.52
251,100,4,886271884,1.0
81,432,2,876535131,1.0
260,322,4,890618898,1.0
25,181,5,885853415,1.0
59,196,5,888205088,1.0
72,679,2,880037164,0.24
87,384,4,879877127,0.98
290,143,5,880474293,1.0
42,423,5,881107687,1.0
292,515,4,881103977,1.0
115,20,3,881171009,1.0
20,288,1,879667584,0.07
201,219,4,884112673,1.0
13,526,3,882141053,1.0
246,919,4,884920949,1.0
138,26,5,879024232,1.0
167,232,1,892738341,0.07
60,427,5,883326620,1.0
57,304,5,883698581,0.86
223,274,4,891550094,1.0
189,512,4,893277702,1.0
243,15,3,879987440,1.0
92,1049,1,890251826,0.17
